100
0,Debug,8,8
1,Debug,4,4
2,Debug,4,4
3,Debug,9,9
4,Debug,7,7
5,Debug,6,6
6,Debug,5,5
7,Debug,4,4
8,Debug,5,5
9,Debug,2,2
10,Debug,8,8
11,Debug,6,6
12,Debug,6,6
13,Debug,1,1
14,Debug,6,6
15,Debug,5,5
16,Debug,1,1
17,Debug,8,8
18,Debug,6,6
19,Debug,3,3
20,Debug,7,7
21,Debug,6,6
22,Debug,4,4
23,Debug,8,8
24,Debug,8,8
25,Debug,6,6
26,Debug,8,8
27,Debug,7,7
28,Debug,1,1
29,Debug,7,7
30,Debug,1,1
31,Debug,1,1
32,Debug,5,5
33,Debug,3,3
34,Debug,4,4
35,Debug,9,9
36,Debug,5,5
37,Debug,7,7
38,Debug,9,9
39,Debug,1,1
40,Debug,9,9
41,Debug,5,5
42,Debug,5,5
43,Debug,9,9
44,Debug,5,5
45,Debug,2,2
46,Debug,2,2
47,Debug,8,8
48,Debug,5,5
49,Debug,7,7
50,Debug,3,9,9
51,Debug,2,4,4
52,Debug,3,2,3
53,Debug,8,5,8
54,Debug,5,7,7
55,Debug,9,5,9
56,Debug,7,5,7
57,Debug,7,2,7
58,Debug,7,2,7
59,Debug,8,3,8
60,Debug,3,9,9
61,Debug,2,5,5
62,Debug,9,5,9
63,Debug,9,6,9
64,Debug,1,7,7
65,Debug,1,2,2
66,Debug,2,5,5
67,Debug,2,1,2
68,Debug,5,3,5
69,Debug,3,5,5
70,Debug,6,5,6
71,Debug,6,5,6
72,Debug,9,5,9
73,Debug,2,8,8
74,Debug,3,7,7
75,Debug,4,6,6
76,Debug,8,6,8
77,Debug,8,6,8
78,Debug,3,8,8
79,Debug,3,1,3
80,Debug,3,6,6
81,Debug,3,2,3
82,Debug,2,8,8
83,Debug,9,9,9
84,Debug,2,4,4
85,Debug,3,3,3
86,Debug,3,7,7
87,Debug,6,4,6
88,Debug,6,1,6
89,Debug,7,4,7
90,Debug,7,4,7
91,Debug,4,8,8
92,Debug,6,1,6
93,Debug,8,4,8
94,Debug,1,9,9
95,Debug,3,6,6
96,Debug,2,5,5
97,Debug,8,1,8
98,Debug,8,9,9
99,Debug,9,7,9
